Index,Joueur,Age,Equipe,Position,Ligue,Matchs joues,Titularisations,Minutes jouees,Nombre de matchs de 90 minutes,Buts,Passes decisives,Buts + Passes decisives,Buts hors penalty,Penaltys marques,Penaltys tentes,Cartons jaunes,Cartons rouges,Buts attendus (xG),Buts attendus hors penalty (npxG),Passes decisives attendues (xAG),Somme des buts et passes attendus hors penalty,Courses progressives,Passes progressives,Receptions progressives,Buts par 90 minutes,Passes decisives par 90 minutes,Buts + Passes par 90 minutes,Buts hors penalty par 90 minutes,Buts + Passes hors penalty par 90 minutes,Buts attendus par 90 minutes,Passes decisives attendues par 90 minutes,Buts et passes attendus par 90 minutes,Buts attendus hors penalty par 90 minutes,Somme des contributions attendues par 90 minutes,Matchs de 90 minutes,Actions menant a un tir,Actions menant a un tir par 90 minutes,Actions menant a un tir via passe,Actions menant a un tir via passe arretee,Actions menant a un tir via dribble reussi,Actions menant a un tir via une tentative de tir,Actions menant a un tir via une faute subie,Actions menant a un tir via action d�fensive,Actions menant a un but,Actions menant a un but par 90 minutes,Actions menant a un but via passe,Actions menant a un but via passe arretee,Actions menant a un but via dribble reussi,Actions menant a un but via une tentative de tir,Actions menant a un but via une faute subie,Actions menant a un but via action defensive,Passes reussies,Passes tentees,Pourcentage de passes reussies,Distance totale des passes,Distance progressive des passes,Passes courtes reussies,Passes courtes tentees,Pourcentage de passes courtes reussies,Passes moyennes reussies,Passes moyennes tentees,Pourcentage de passes moyennes reussies,Passes longues reussies,Passes longues tentees,Pourcentage de passes longues reussies,Difference entre passes et passes attendues,Passes cles,Passes dans le dernier tiers,Passes dans la surface de r�paration,Centres dans la surface,Passes progressives.1,Deuxi�me carton jaune,Fautes commises,Fautes subies,Hors-jeux,Centres tentes,Interceptions,Tacles reussis,Penaltys obtenus,Penaltys concedes,Buts contre son camp,Ballons recuperes,Duels aeriens gagnes,Duels aeriens perdus,Pourcentage de duels aeriens gagnes,Tirs,Tirs cadres,Pourcentage de tirs cadres,Tirs par 90 minutes,Tirs cadres par 90 minutes,Buts par tir,Buts par tir cadre,Distance moyenne des tirs,Coups francs tentes,Penaltys marques.1,Penaltys tentes.1,Buts attendus hors penalty par tir,Difference entre buts marques et attendus,Difference entre buts hors penalty marques et attendus,Tacles,Tacles reussis.1,Tacles dans le tiers d�fensif,Tacles dans le tiers median,Tacles dans le tiers offensif,Duels defensifs gagnes,Duels defensifs tentes,Pourcentage de duels gagnes,Duels perdus,Contres,Tirs contres,Passes bloquees,Interceptions.1,Total tacles + interceptions,Degagements,Erreurs menant a un tir,Minutes par match joue,Pourcentage de minutes jouees,Titularisations.1,Minutes par titularisation,Matchs complets,Remplacements,Minutes par entree en jeu,Matchs non joues,Points par match,Succes d equipe buts marques,Succes d equipe buts concedes,Succes d'�quipe �,Succes d equipe +/-90,Succes d equipe On-Off,Succes d equipe (xG) buts attendus marques,Succes d equipe (xG) buts attendus concedes,Succes d equipe (xG) difference xG (xG+/-),Succes d equipe (xG) difference xG par 90 minutes (xG+/-90),Succes d equipe (xG) On-Off,Touches de balle,Touches de balle surface defensive,Touches de balle tiers defensif,Touches de balle tiers median,Touches de balle tiers offensif,Touches de balle surface offensive,Touches de balle en jeu,Dribbles tentes,Dribbles reussis,Pourcentage de dribbles reussis,Dribbles arretes par l adversaire,Pourcentage de dribbles arretes,Portees de balle,Distance totale des portees de balle,Distance progressive des portees de balle,Portees progressives,Portees dans le dernier tiers,Portees jusqu a la surface de reparation
722,Kamory Doumbia,21,Brest,Milieu,Ligue 1,18,7,793,8,1,1,2,1,0,0,0,0,0,0,0,1,7,42,33,0,0,0,0,0,0,0,0,0,0,8,35,3,22,10,0,0,1,2,3,0,1,1,0,0,0,1,328,417,78,5367,1350,157,173,90,126,153,82,27,60,45,0,17,30,5,1,42,0,12,12,1,35,19,18,0,0,0,55,7,18,28,10,3,30,1,0,0,0,20,1,0,0,0,0,0,26,18,11,13,2,10,24,41,14,9,1,8,19,45,10,0,44,42,7,75,1,11,25,0,1,16,15,1,0,0,8,15,-6,0,0,537,14,98,290,154,16,537,21,10,47,11,52,280,1270,515,7,9,1
723,Amidou Doumbouya,17,Nice,Défenseur,Ligue 1,2,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,25,76,252,66,13,14,92,6,9,66,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,100,0,3,1,2,1,2,1,0,23,2,0,0,0,2,23,4,1,1,1,0,0,0,0,0,0,0,0,31,2,13,13,5,0,31,1,1,100,0,0,17,87,36,1,0,0
724,Anastasios Douvikas,25,Como,Attaquant,Serie A,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,75,30,0,3,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,18,0,0,0,0,1,18,0,0,0,1,-1,-5,-4,0,0,0,-4,-4,7,0,0,4,3,1,7,0,0,0,0,0,3,13,0,0,0,0
725,Anastasios Douvikas,25,Celta Vigo,Attaquant,La Liga,20,6,700,7,3,1,4,3,0,0,2,0,4,4,0,4,6,6,43,0,0,0,0,0,0,0,0,0,0,7,11,1,5,0,2,1,3,0,1,0,1,0,0,0,0,0,76,107,71,1074,147,39,53,73,30,37,81,2,2,100,0,3,2,1,0,6,0,10,27,9,1,3,4,0,0,0,15,14,23,37,17,9,52,2,1,0,0,11,0,0,0,0,-1,-1,9,4,2,6,1,3,6,50,3,5,2,3,3,12,6,0,35,33,6,66,0,14,22,2,1,14,13,1,0,0,12,9,3,0,0,192,12,18,84,94,32,192,13,4,30,7,53,120,585,150,6,7,4
726,Artem Dovbyk,27,Roma,Attaquant,Serie A,22,20,1767,19,8,2,10,6,2,2,0,0,8,7,2,9,15,13,129,0,0,0,0,0,0,0,0,0,0,19,35,1,29,0,4,2,0,0,5,0,3,0,2,0,0,0,232,319,72,2587,295,153,204,75,46,59,78,4,4,100,0,15,12,4,0,13,0,24,10,21,0,1,2,0,0,0,18,33,40,45,41,16,39,2,0,0,0,13,0,2,2,0,0,-1,4,2,0,1,3,0,2,0,2,7,3,4,1,5,7,0,80,81,20,85,10,2,36,0,1,30,23,7,0,0,29,25,4,0,0,475,9,19,192,264,108,473,15,6,40,9,60,250,964,288,15,8,6
727,Flynn Downes,26,Southampton,Milieu,Premier League,18,17,1432,15,1,0,1,1,0,0,9,0,0,0,0,1,18,50,23,0,0,0,0,0,0,0,0,0,0,15,24,1,20,2,0,1,0,1,1,0,0,1,0,0,0,0,714,788,90,10555,2112,411,440,93,249,269,92,29,43,67,0,12,42,9,0,50,0,37,29,0,2,22,19,0,0,0,53,11,9,55,9,3,33,0,0,0,0,17,0,0,0,0,0,0,34,19,17,14,3,11,27,40,16,19,4,15,22,56,32,3,80,66,17,83,12,1,18,1,0,10,36,-26,-1,0,16,32,-16,-1,0,948,67,292,494,166,18,948,11,3,27,7,63,439,2379,1251,18,14,4
728,Tommy Doyle,23,Wolves,Milieu,Premier League,19,3,462,5,0,1,1,0,0,0,1,0,0,0,0,1,6,38,2,0,0,0,0,0,0,0,0,0,0,5,16,3,10,4,1,1,0,0,3,0,2,0,1,0,0,0,293,358,81,6107,1883,102,108,94,123,137,89,60,90,66,0,7,40,3,0,38,0,5,5,0,13,5,6,0,0,0,41,1,6,14,8,2,25,1,0,0,0,24,0,0,0,0,0,0,11,6,6,3,2,6,14,42,8,10,4,6,5,16,9,1,24,21,3,70,1,16,16,5,0,7,10,-3,0,0,6,9,-3,0,0,422,20,122,234,69,2,422,8,4,50,1,12,236,1284,542,6,3,0
729,Radu Drăgușin,23,Tottenham,Défenseur,Premier League,16,14,1252,13,0,0,0,0,0,0,1,0,0,0,0,0,7,37,2,0,0,0,0,0,0,0,0,0,0,13,8,0,8,0,0,0,0,0,1,0,1,0,0,0,0,0,716,840,85,13638,5250,223,245,91,437,470,93,47,107,43,0,4,52,2,1,37,0,6,10,0,1,15,6,0,0,0,48,33,22,60,5,1,20,0,0,0,0,12,0,0,0,0,0,0,10,6,8,2,0,6,12,50,6,22,16,6,15,25,49,4,78,58,14,83,11,2,43,7,0,25,29,-4,0,-1,21,29,-7,0,-1,961,148,510,430,30,12,961,2,0,0,0,0,623,3349,1666,7,3,0
730,Patrick Drewes,32,Bochum,Gardien,Bundesliga,21,21,1890,21,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,565,860,65,19116,15776,69,69,100,229,234,97,267,553,48,0,0,7,0,0,0,0,1,3,0,0,0,0,0,1,0,36,3,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,11,1,90,100,21,90,21,0,0,0,0,19,46,-27,-1,0,25,42,-17,0,0,913,709,902,11,0,0,913,0,0,0,0,0,479,2471,1284,0,0,0
731,Tim Drexler,19,Hoffenheim,Défenseur,Bundesliga,8,5,357,4,0,0,0,0,0,0,2,0,0,0,0,0,2,16,2,0,0,0,0,0,0,0,0,0,0,4,6,1,6,0,0,0,0,0,1,0,1,0,0,0,0,0,153,180,85,2669,1021,76,82,92,61,69,88,14,21,66,0,1,13,2,0,16,0,8,2,0,1,1,7,0,0,0,10,2,12,14,2,2,100,0,0,0,0,27,0,0,0,0,0,0,17,7,11,6,0,9,12,75,3,6,4,2,1,18,9,1,45,18,5,54,1,3,29,3,1,5,12,-7,-1,-1,4,11,-6,-1,-1,223,18,91,125,11,0,223,0,0,0,0,0,128,483,208,2,2,0
732,Domingos Duarte,29,Getafe,Défenseur,La Liga,9,8,722,8,0,0,0,0,0,0,0,0,0,0,0,0,3,20,1,0,0,0,0,0,0,0,0,0,0,8,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,202,258,78,4455,1441,51,61,83,114,132,86,35,62,56,0,2,21,0,0,20,0,10,1,0,0,5,3,0,0,0,26,11,6,64,1,0,0,0,0,0,0,14,0,0,0,0,0,0,8,3,8,0,0,3,3,100,0,14,7,7,5,13,65,0,80,34,8,90,8,1,2,14,1,7,6,1,0,0,7,12,-5,0,0,355,59,192,164,5,2,355,0,0,0,0,0,158,806,409,3,1,0
733,Martin Dúbravka,36,Newcastle Utd,Gardien,Premier League,9,9,810,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,295,79,5183,2722,51,51,100,142,142,100,39,100,39,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,3,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,90,37,9,90,9,0,0,11,2,23,8,15,1,1,19,9,10,1,1,311,233,299,12,0,0,311,0,0,0,0,0,176,877,556,0,0,0
734,Marvin Ducksch,30,Werder Bremen,Attaquant,Bundesliga,21,21,1713,19,6,7,13,5,1,2,3,0,7,6,5,12,15,63,115,0,0,0,0,0,0,0,0,0,0,19,64,3,42,20,0,2,0,0,9,0,8,1,0,0,0,0,385,625,61,6916,2107,149,200,74,139,206,67,62,147,42,1,39,29,22,7,63,0,3,14,10,122,5,6,0,0,0,44,16,25,39,50,20,40,2,1,0,0,17,6,1,2,0,-1,-1,8,6,3,4,1,2,12,16,10,5,0,5,5,13,20,1,82,90,21,82,8,0,0,0,1,31,34,-3,0,0,24,27,-3,0,0,766,23,64,302,408,82,764,14,4,28,9,64,360,1170,526,15,14,9
735,Ondrej Duda,30,Hellas Verona,Milieu,Serie A,15,14,1251,13,0,2,2,0,0,0,8,1,0,0,2,2,9,61,14,0,0,0,0,0,0,0,0,0,0,13,43,3,24,11,2,3,3,0,5,0,3,2,0,0,0,0,534,669,79,9207,3004,269,299,90,186,224,83,59,116,50,0,21,65,16,4,61,1,25,32,0,43,18,14,0,0,0,105,9,5,64,13,2,15,0,0,0,0,27,1,0,0,0,0,0,23,14,9,13,1,16,39,41,23,13,5,8,18,41,12,4,83,57,14,86,9,1,45,0,1,18,23,-5,0,1,16,19,-3,0,0,808,33,171,487,162,2,808,25,13,52,9,36,404,1999,733,9,14,1
736,Duk,24,Leganés,Attaquant,La Liga,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,66,93,9,6,6,100,1,2,50,0,1,0,0,1,0,1,0,1,0,0,3,0,2,0,2,0,0,0,2,0,0,0,1,1,100,5,5,0,0,30,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,1,0,1,0,3,0,0,18,0,0,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,4,16,2,20,4,2,50,2,50,15,79,44,2,0,1
737,Denzel Dumfries,28,Inter,Défenseur,Serie A,20,14,1336,14,6,1,7,6,0,0,4,0,4,4,1,5,30,36,121,0,0,0,0,0,0,0,0,0,0,14,39,2,27,4,2,2,3,1,3,0,1,0,0,1,1,0,412,550,74,6698,1983,225,254,88,154,221,69,31,50,62,0,16,16,17,8,36,0,36,11,5,41,4,14,2,0,0,40,33,9,78,26,15,57,1,1,0,0,10,0,0,0,0,1,1,18,14,8,7,3,10,19,52,9,21,3,18,4,22,15,0,67,64,14,85,11,6,25,3,2,36,17,19,1,0,29,11,18,1,0,688,22,107,294,298,61,688,28,6,21,19,67,347,1725,803,30,19,5
738,Alfred Duncan,31,Venezia,Milieu,Serie A,11,10,795,8,0,0,0,0,0,0,1,0,0,0,0,1,7,44,11,0,0,0,0,0,0,0,0,0,0,8,22,2,17,4,0,1,0,0,2,0,1,0,0,1,0,0,364,448,81,6092,1685,172,197,87,150,167,89,30,56,53,0,7,34,16,3,44,0,19,11,0,16,8,5,0,0,0,45,10,7,58,11,3,27,1,0,0,0,23,0,0,0,0,0,0,14,5,3,9,2,4,12,33,8,4,2,2,8,22,6,0,72,36,10,78,6,1,14,0,0,7,17,-10,-1,0,9,11,-2,0,0,521,11,78,329,122,5,521,19,10,52,8,42,268,1201,526,7,12,0
739,Lewis Dunk,33,Brighton,Défenseur,Premier League,19,17,1562,17,0,0,0,0,0,0,4,0,0,0,0,1,17,111,2,0,0,0,0,0,0,0,0,0,0,17,16,0,14,0,0,2,0,0,3,0,2,0,0,1,0,0,1343,1472,91,24984,8260,508,524,96,710,744,95,113,179,63,0,6,123,4,0,111,0,5,8,2,2,10,8,0,0,1,84,39,24,61,10,2,20,0,0,0,0,13,1,0,0,0,0,0,15,8,7,6,2,9,14,64,5,20,14,6,10,25,57,0,82,72,17,89,16,2,24,0,1,24,30,-6,0,0,23,27,-4,0,0,1600,205,778,748,84,15,1600,1,0,0,1,100,988,4693,2575,17,15,0
740,Jáder Durán,21,Aston Villa,Attaquant,Premier League,20,4,638,7,7,0,7,7,0,0,3,1,4,4,0,5,7,13,44,0,0,0,0,0,0,0,0,0,0,7,18,2,9,0,0,4,3,2,1,0,0,0,0,0,0,1,115,163,70,1558,307,68,84,81,34,50,68,5,11,45,0,4,10,1,0,13,0,14,15,5,3,0,7,0,0,0,19,19,19,50,31,15,48,4,2,0,0,15,0,0,0,0,2,2,8,7,1,2,5,1,4,25,3,5,0,5,0,8,13,0,32,29,4,60,0,16,25,1,1,12,12,0,0,0,9,9,0,0,0,263,13,36,110,122,47,263,14,3,21,9,64,133,535,267,7,7,2
741,Pablo Durán,23,Celta Vigo,Attaquant,La Liga,13,8,709,7,4,2,6,4,0,0,2,0,2,2,2,4,16,14,68,0,0,0,0,0,0,0,0,0,0,7,13,1,11,0,1,1,0,0,1,0,1,0,0,0,0,0,149,213,70,2096,322,85,105,81,43,57,75,10,22,45,0,9,7,4,2,14,0,17,9,3,11,6,6,0,0,0,30,4,15,21,14,5,35,1,0,0,0,15,0,0,0,0,1,1,10,6,2,6,2,3,9,33,6,5,1,4,6,16,4,0,55,34,8,79,2,5,16,9,1,9,11,-2,0,0,8,8,0,0,0,304,4,30,125,152,37,304,16,3,18,13,81,181,927,381,16,11,8
742,Julien Duranville,18,Dortmund,Attaquant,Bundesliga,8,2,219,2,0,0,0,0,0,0,3,0,0,0,0,0,12,4,18,0,0,0,0,0,0,0,0,0,0,2,6,2,2,0,0,0,4,0,1,0,0,0,0,0,1,0,43,60,71,611,117,31,35,88,10,19,52,2,5,40,0,1,3,0,0,4,0,9,6,1,9,0,0,1,0,0,4,0,1,0,2,0,0,0,0,0,0,19,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,3,0,27,11,2,51,0,6,20,8,1,4,6,-2,0,0,4,2,1,0,0,97,2,7,32,60,9,97,24,9,37,9,37,73,564,302,12,6,5
743,Hugo Duro,25,Valencia,Attaquant,La Liga,20,19,1597,17,7,2,9,7,0,0,3,0,6,6,1,7,11,20,51,0,0,0,0,0,0,0,0,0,0,17,25,1,18,0,1,3,3,0,3,0,1,0,0,1,1,0,215,306,70,2986,382,122,157,77,69,93,74,9,16,56,0,12,12,3,0,20,0,26,38,6,5,9,7,0,1,1,38,48,74,39,33,11,33,1,0,0,0,11,1,0,0,0,0,0,12,7,4,7,1,4,10,40,6,9,1,8,9,21,8,0,80,77,19,83,12,1,17,1,0,20,32,-12,0,0,20,27,-7,0,0,471,11,41,241,195,63,471,18,6,33,12,66,219,812,291,11,7,6
744,Jean-Kevin Duverne,27,Nantes,Défenseur,Ligue 1,9,7,537,6,0,0,0,0,0,0,2,0,0,0,0,0,6,22,8,0,0,0,0,0,0,0,0,0,0,6,5,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,238,304,78,3826,1571,123,141,87,96,112,85,17,37,45,0,1,22,2,2,22,0,14,6,0,9,8,12,0,0,0,20,9,3,75,4,0,0,0,0,0,0,17,0,0,0,0,0,0,21,12,13,4,4,15,27,55,12,10,3,7,8,29,23,0,60,28,7,72,3,2,17,6,1,9,9,0,0,0,7,8,-1,0,0,378,28,132,185,61,3,378,5,2,40,1,20,161,670,327,6,8,1
745,Paulo Dybala,31,Roma,Attaquant,Serie A,21,15,1287,14,6,2,8,3,3,3,2,0,6,3,4,8,37,75,111,0,0,0,0,0,0,0,0,0,0,14,79,5,45,16,1,6,11,0,7,0,5,0,0,0,2,0,543,669,81,9200,2180,285,314,90,166,201,82,66,106,62,-2,36,38,26,5,75,0,6,52,5,58,1,6,2,0,0,57,7,16,30,45,14,31,3,0,0,0,21,6,3,3,0,0,0,16,6,3,8,5,8,16,50,8,10,1,9,1,17,2,0,61,59,15,79,4,6,17,1,1,25,14,11,0,1,23,17,6,0,0,832,6,65,371,406,68,829,40,11,27,16,40,545,2915,1343,37,37,15
746,Stefan Džodić,19,Montpellier,Défenseur,Ligue 1,5,2,190,2,0,0,0,0,0,0,2,1,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,112,123,91,2026,757,42,46,91,66,69,95,3,7,42,0,0,9,0,0,7,0,4,2,0,0,4,3,0,0,0,9,2,5,28,2,0,0,0,0,0,0,21,0,0,0,0,0,0,6,3,3,3,0,4,6,66,2,5,4,1,4,10,8,0,38,10,2,82,1,3,9,6,0,1,8,-7,-3,-2,1,4,-3,-1,0,151,18,77,70,4,2,151,0,0,0,0,0,93,519,308,2,1,0
747,Adam Dźwigała,29,St. Pauli,Défenseur,Bundesliga,11,0,163,1,0,0,0,0,0,0,2,1,0,0,0,0,1,7,3,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,78,106,73,1299,597,30,37,81,40,46,87,5,16,31,0,0,9,1,0,7,0,4,2,0,3,0,5,0,0,0,5,5,3,62,4,0,0,2,0,0,0,10,0,0,0,0,0,0,12,5,9,2,1,5,8,62,3,2,1,1,0,12,15,0,15,8,0,0,0,11,15,7,0,1,2,-1,0,0,2,3,0,0,0,142,14,53,63,26,4,142,2,1,50,1,50,51,196,107,1,0,0
748,Aron Dønnum,26,Toulouse,Défenseur,Ligue 1,20,19,1616,18,0,0,0,0,0,0,4,0,1,1,1,2,69,77,85,0,0,0,0,0,0,0,0,0,0,18,42,2,25,8,3,3,3,0,5,0,2,2,0,1,0,0,519,731,71,8873,3058,270,304,88,192,263,73,51,109,46,-1,19,39,22,5,77,0,26,35,0,64,19,18,0,0,0,106,8,13,38,16,1,6,0,0,0,0,20,0,0,0,0,-1,-1,31,18,10,17,4,15,33,45,18,20,2,18,19,50,26,1,81,85,19,84,10,1,27,0,1,19,21,-2,0,0,20,18,2,0,-1,930,37,183,433,333,42,930,70,33,47,31,44,503,3506,2088,69,34,17
749,Enzo Ebosse,25,Udinese,Défenseur,Serie A,2,0,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,48,55,87,897,201,16,20,80,26,28,92,5,6,83,0,1,7,0,0,5,0,1,0,0,0,1,0,0,0,0,5,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,3,0,1,1,1,0,45,4,0,0,0,2,45,15,0,0,1,-1,-1,0,0,0,0,0,0,61,8,18,38,5,0,61,1,1,100,0,0,34,136,48,0,0,0
750,Ederson,31,Manchester City,Gardien,Premier League,15,15,1350,15,0,2,2,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,4,0,4,0,0,0,0,0,2,0,2,0,0,0,0,0,482,559,86,11861,7811,90,90,100,278,284,97,112,182,61,1,2,14,1,0,1,0,1,0,0,0,1,0,0,1,0,27,2,1,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,1,5,1,90,62,15,90,15,0,0,4,1,32,20,12,0,0,30,19,10,0,0,594,406,585,9,0,0,594,0,0,0,0,0,386,1685,1035,0,0,0
751,Éderson,25,Atalanta,Milieu,Serie A,24,23,2018,22,3,1,4,3,0,0,3,0,2,2,2,5,27,143,54,0,0,0,0,0,0,0,0,0,0,22,65,2,49,2,5,4,2,3,9,0,8,0,0,1,0,0,1205,1389,86,22326,5993,459,523,87,615,659,93,116,158,73,-1,21,127,30,5,143,0,24,41,0,19,28,21,0,0,0,130,34,20,63,25,10,40,1,0,0,0,18,0,0,0,0,0,0,34,21,12,19,3,16,24,66,8,22,4,18,28,62,23,1,84,93,23,85,17,1,66,0,2,51,25,26,1,0,38,20,17,0,0,1620,45,356,890,392,41,1620,33,14,42,16,48,1060,4936,2320,27,38,9
752,Noah Edjouma,19,Toulouse,Milieu,Ligue 1,1,0,22,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,4,0,4,4,4,1,0,1,1,1,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,83,56,32,3,4,75,1,1,100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,1,100,4,4,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,2,0,22,1,0,0,0,1,22,7,1,1,1,0,0,0,0,0,0,1,0,15,2,4,3,8,1,15,2,0,0,2,100,9,33,1,0,0,0
753,George Edmundson,27,Ipswich Town,Défenseur,Premier League,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,50,9,0,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,3,1,3,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0
754,Odsonne Édouard,27,Crystal Palace,Milieu,Premier League,2,1,115,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,7,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,28,60,230,46,11,16,68,4,7,57,1,1,100,0,1,2,0,0,4,0,4,0,2,1,0,0,0,0,0,5,1,4,20,5,1,20,3,0,0,0,20,0,0,0,0,0,0,1,0,0,1,0,0,2,0,2,1,0,1,0,1,1,0,58,5,1,70,0,1,45,0,0,1,2,-1,0,0,1,2,0,0,0,45,1,4,23,18,8,45,1,0,0,1,100,23,107,50,2,1,2
755,Odsonne Édouard,27,Leicester City,Attaquant,Premier League,4,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,75,59,5,3,4,75,1,1,100,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,1,0,0,0,1,1,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,7,1,0,0,0,4,7,3,1,0,1,-1,-3,-1,0,1,-1,-4,-3,20,1,2,7,11,6,20,2,1,50,1,50,11,25,2,0,0,1
756,Samuel Edozie,22,Southampton,Défenseur,Premier League,2,0,65,0,0,0,0,0,0,0,1,0,0,0,0,0,6,4,23,0,0,0,0,0,0,0,0,0,0,0,4,5,3,0,0,0,1,0,0,0,0,0,0,0,0,0,25,33,75,316,67,19,21,90,6,7,85,0,3,0,0,1,0,3,0,4,0,2,1,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,2,2,2,100,0,0,0,0,0,3,0,0,33,3,0,0,0,2,33,0,0,0,0,0,0,1,1,0,1,1,2,43,0,0,7,36,10,43,4,2,50,2,50,34,336,197,6,2,4
757,Ronnie Edwards,21,Southampton,Défenseur,Premier League,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,100,109,0,0,0,0,5,5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,12,0,0,0,0,1,12,2,0,0,1,-1,-7,-6,0,0,0,-2,0,6,3,4,2,0,0,6,0,0,0,0,0,3,10,0,0,0,0
758,Johannes Eggestein,26,St. Pauli,Attaquant,Bundesliga,19,19,1544,17,3,4,7,2,1,2,3,0,4,2,2,4,24,39,116,0,0,0,0,0,0,0,0,0,0,17,38,2,32,0,0,4,1,1,4,0,4,0,0,0,0,0,337,461,73,4742,920,178,222,80,106,130,81,20,35,57,2,21,21,9,2,39,0,10,10,11,30,0,2,0,0,0,48,23,72,24,33,10,30,1,0,0,0,15,0,1,2,0,-1,0,4,2,0,1,3,0,4,0,4,3,0,3,0,4,8,0,81,81,19,81,2,0,0,0,1,15,19,-4,0,0,15,20,-4,0,0,600,6,39,311,255,65,598,13,6,46,7,53,324,1443,579,24,16,7
